Date,Consommation,tmin,tmax,weekend,jour_ferie,saison,Type de jour TEMPO,Year,Month,Day,Weekday,BLANC,BLEU,ROUGE,saison_Hiver,saison_Printemps,saison_Été,Type de jour TEMPO_BLEU,Type de jour TEMPO_ROUGE
2018-01-01,56302.04166666666,6.501796407185629,11.188690476190477,0,1,Hiver,BLEU,2018,1,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-02,63102.958333333336,6.229518072289156,12.299397590361446,0,0,Hiver,BLEU,2018,1,2,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-03,63761.270833333336,8.244848484848486,14.868484848484847,0,0,Hiver,BLEU,2018,1,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-04,63169.1875,9.10059880239521,14.82874251497006,0,0,Hiver,BLEU,2018,1,4,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-05,62318.708333333336,7.344311377245509,13.331547619047615,0,0,Hiver,BLEU,2018,1,5,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-06,59227.125,6.083431952662721,10.565294117647058,1,0,Hiver,BLEU,2018,1,6,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-07,58761.97916666666,6.811309523809523,10.40529411764706,1,0,Hiver,BLEU,2018,1,7,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-08,67164.83333333333,5.614457831325301,10.159171597633136,0,0,Hiver,BLANC,2018,1,8,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-09,68683.54166666667,4.369325153374233,10.296951219512197,0,0,Hiver,BLANC,2018,1,9,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-10,67405.125,5.407926829268293,10.964242424242425,0,0,Hiver,BLANC,2018,1,10,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-11,68516.16666666667,4.064670658682634,9.41556886227545,0,0,Hiver,ROUGE,2018,1,11,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-12,69889.91666666667,3.172289156626506,8.691071428571428,0,0,Hiver,ROUGE,2018,1,12,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-13,65975.45833333333,1.7433734939759036,8.28562874251497,1,0,Hiver,BLANC,2018,1,13,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-14,63638.5625,2.701204819277108,8.832934131736526,1,0,Hiver,BLEU,2018,1,14,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-15,70662.41666666667,3.3813253012048192,10.563855421686746,0,0,Hiver,BLANC,2018,1,15,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-16,68532.27083333333,7.12716049382716,12.038036809815951,0,0,Hiver,BLANC,2018,1,16,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-17,70484.10416666667,5.045731707317073,10.27716049382716,0,0,Hiver,BLEU,2018,1,17,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-18,69634.875,5.132926829268293,11.42848484848485,0,0,Hiver,BLEU,2018,1,18,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-19,68817.375,5.031927710843373,10.466467065868263,0,0,Hiver,BLANC,2018,1,19,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-20,64436.0,4.536363636363636,11.312727272727273,1,0,Hiver,BLEU,2018,1,20,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-21,59333.958333333336,7.748148148148148,12.232515337423314,1,0,Hiver,BLEU,2018,1,21,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-01-22,64262.8125,8.389506172839505,13.42037037037037,0,0,Hiver,BLANC,2018,1,22,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-23,64893.625,6.956213017751479,12.871005917159762,0,0,Hiver,BLANC,2018,1,23,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-24,63726.145833333336,7.041420118343195,13.65357142857143,0,0,Hiver,BLANC,2018,1,24,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-25,65070.625,6.985714285714285,11.815976331360948,0,0,Hiver,BLANC,2018,1,25,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-26,66985.75,4.823529411764706,10.099411764705884,0,0,Hiver,ROUGE,2018,1,26,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-27,63842.770833333336,3.165088757396449,8.84792899408284,1,0,Hiver,BLEU,2018,1,27,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
